parameter,comment,options,label
ignore_category_indices,"dict Dictionary mapping from feature_idx to category index to ignore. Ignored indexes will not be grouped and the original ordinal encoding will remain. """"""",numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,builtin
X,array-like of shape (n_samples n_features) The data to determine the categories of each feature.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,numpy
y,None Ignored. This parameter exists only for compatibility with,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,builtin
X,array-like of shape (n_samples n_features) The data to encode.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,numpy
X,array-like of shape (n_samples n_encoded_features) The transformed data.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,numpy
input_features,array-like of str or None default=None Input features.,numbers numbers.Integral warnings numpy scipy.sparse base.BaseEstimator base.TransformerMixin base.OneToOneFeatureMixin utils.check_array utils.is_scalar_nan utils._safe_indexing utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Interval utils._param_validation.StrOptions utils._param_validation.Hidden utils._param_validation.RealNotInt utils._mask._get_mask utils._encode._encode utils._encode._check_unknown utils._encode._unique utils._encode._get_counts,builtin
dist_pot_donors,ndarray of shape (n_receivers n_potential_donors) Distance matrix between the receivers and potential donors from training set. There must be at least one non-nan distance between a receiver and a potential donor.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,numpy
n_neighbors,int Number of neighbors to consider.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,builtin
fit_X_col,ndarray of shape (n_potential_donors) Column of potential donors from training set.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,numpy
mask_fit_X_col,ndarray of shape (n_potential_donors) Missing mask for fit_X_col.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,numpy
X,array-like shape of (n_samples n_features) Input data where `n_samples` is the number of samples and `n_features` is the number of features.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,numpy
y,Ignored Not used present here for API consistency by convention.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,builtin
X,array-like of shape (n_samples n_features) The input data to complete.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,numpy
input_features,array-like of str or None default=None Input features.,numbers.Integral numpy _base._BaseImputer utils.validation.FLOAT_DTYPES metrics.pairwise_distances_chunked metrics.pairwise._NAN_METRICS neighbors._base._get_weights utils.is_scalar_nan utils._mask._get_mask utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._param_validation.Hidden utils._param_validation.Interval utils._param_validation.StrOptions,builtin
X1,ndarray or dataframe of shape (n_samples n_features) Data.,time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,numpy 
X2,ndarray of shape (n_samples n_features) Data to be assigned.,time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,numpy
cond,"ndarray of shape (n_samples n_features) Boolean mask to assign data. """"""",time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,numpy
n_features,int Number of features in `X`.,time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,builtin
feat_idx,int Index of the feature currently being imputed.,time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,builtin
abs_corr_mat,ndarray shape (n_features n_features) Absolute correlation matrix of `X`. The diagonal has been zeroed out and each feature has been normalized to sum to 1. Can be None.,time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,numpy
mask_missing_values,array-like shape (n_samples n_features) Input data's missing indicator matrix where `n_samples` is the number of samples and `n_features` is the number of features.,time.time collections.namedtuple numbers.Integral numbers.Real warnings scipy.stats numpy base.clone exceptions.ConvergenceWarning preprocessing.normalize utils.check_array utils.check_random_state utils.is_scalar_nan utils._safe_assign utils._safe_indexing utils.validation.FLOAT_DTYPES utils.validation.check_is_fitted utils.validation._check_feature_names_in utils._mask._get_mask utils._param_validation.HasMethods utils._param_validation.Interval utils._param_validation.StrOptions _base._BaseImputer _base.SimpleImputer _base._check_inputs_dtype linear_model.BayesianRidge,numpy
